sample_id,gamma,objective,beta,eta
Sample-1-1,760.487755511022,3.821839690966271e-09,0.9999480786686578,1109.034092962554
Sample-1-1,763.1468036072145,3.013650110304843e-12,0.9999441171814992,1106.3745128163398
Sample-1-1,764.4763276553106,3.2425366778342604e-10,0.9999420376116711,1105.0447091277092
Sample-1-1,765.8058517034068,1.377434084964802e-11,0.999939900735068,1103.7148973643768
Sample-1-1,767.135375751503,3.282711487321031e-09,0.9999374725620351,1102.3850463368601
Sample-1-1,773.782995991984,7.06553152980292e-12,0.9999250182549763,1095.7357405221935
Sample-1-1,775.1125200400802,1.027582687912693e-09,0.9999261517460275,1094.4063527777212
Sample-1-1,776.4420440881763,4.199657794436249e-09,0.9999224034993135,1093.0763237769154
Sample-1-1,777.7715681362725,4.2066468222755164e-09,0.9999185854809922,1091.7462837831758
Sample-1-1,779.1010921843688,4.22466360821465e-09,0.9999147622136242,1090.4162417584325
Sample-1-1,784.4191883767535,4.2729453626433e-09,0.9999011635336954,1085.0962846668365
Sample-1-1,785.7487124248497,2.823516890941829e-11,0.9998976131892284,1083.7662716937316
Sample-1-1,789.7372845691383,1.1679864637986108e-09,0.9998880288001114,1079.7763693125028
Sample-1-1,792.3963326653306,1.0051511764575232e-10,0.9998763791400264,1077.1157256354004
Sample-1-1,793.7258567134269,4.806550048654188e-12,0.9998721242368257,1075.7856107209109
Sample-1-1,795.0553807615231,1.0873489142434567e-09,0.9998673546429935,1074.4554251327768
Sample-1-1,797.7144288577155,4.324872998628677e-09,0.9998570841692538,1071.7949516570136
Sample-1-1,799.0439529058116,1.6028031755554312e-10,0.9998503322333443,1070.4644936047566
Sample-1-1,803.0325250501002,4.429107856109048e-09,0.9998350542321535,1066.4737792157255
Sample-1-1,808.350621242485,3.591767940944071e-09,0.9998002481332604,1061.1508397347925
Sample-1-1,812.3391933867736,1.329212619014192e-10,0.9997744694760078,1057.1586448573726
Sample-1-1,813.6687174348697,4.3941587379246186e-09,0.9997633943842934,1055.8275688663723
